bezirk_key;bezirk_name;prognose_key;prognose_name;bezirksregion_key;bezirksregion_name;kiez_key;kiez_name
5;Spandau;501;SPA 1;50101;Hakenfelde;5010103;Amorbacher Weg
5;Spandau;501;SPA 1;50102;Falkenhagener Feld;5010204;Griesingerstraße
5;Spandau;501;SPA 1;50102;Falkenhagener Feld;5010205;An der Tränke
5;Spandau;501;SPA 1;50102;Falkenhagener Feld;5010206;Gütersloher Weg
5;Spandau;501;SPA 1;50102;Falkenhagener Feld;5010207;Darbystraße
5;Spandau;501;SPA 1;50102;Falkenhagener Feld;5010208;Germersheimer Platz
5;Spandau;501;SPA 1;50102;Falkenhagener Feld;5010209;An der Kappe
5;Spandau;501;SPA 1;50103;Spandau Mitte;5010310;Eckschanze
5;Spandau;501;SPA 1;50103;Spandau Mitte;5010311;Eiswerder
5;Spandau;501;SPA 1;50103;Spandau Mitte;5010312;Kurstraße
5;Spandau;501;SPA 1;50103;Spandau Mitte;5010313;Ackerstraße
5;Spandau;501;SPA 1;50103;Spandau Mitte;5010314;Carl-Schurz-Straße
5;Spandau;501;SPA 1;50103;Spandau Mitte;5010339;Freiheit
5;Spandau;502;SPA 2;50204;Brunsbütteler Damm;5020415;Isenburger Weg
5;Spandau;502;SPA 2;50204;Brunsbütteler Damm;5020416;Am Heideberg
5;Spandau;502;SPA 2;50204;Brunsbütteler Damm;5020417;Staakener Straße
5;Spandau;502;SPA 2;50204;Brunsbütteler Damm;5020418;Spandauer Straße
5;Spandau;502;SPA 2;50204;Brunsbütteler Damm;5020419;Magistratsweg
5;Spandau;502;SPA 2;50204;Brunsbütteler Damm;5020420;Werkstraße
5;Spandau;502;SPA 2;50205;Heerstraße Nord;5020521;Döberitzer Weg
5;Spandau;502;SPA 2;50205;Heerstraße Nord;5020522;Pillnitzer Weg
5;Spandau;502;SPA 2;50205;Heerstraße Nord;5020523;Maulbeerallee
5;Spandau;502;SPA 2;50205;Heerstraße Nord;5020524;Weinmeisterhornweg
5;Spandau;502;SPA 2;50206;Wilhelmstadt;5020625;Borkumer Straße
5;Spandau;502;SPA 2;50206;Wilhelmstadt;5020626;Adamstraße
5;Spandau;502;SPA 2;50206;Wilhelmstadt;5020627;Tiefwerder
5;Spandau;502;SPA 2;50206;Wilhelmstadt;5020628;Graetschelsteig
5;Spandau;502;SPA 2;50206;Wilhelmstadt;5020629;Börnicker Straße
5;Spandau;503;SPA 3;50307;Haselhorst;5030730;Zitadellenweg
5;Spandau;503;SPA 3;50307;Haselhorst;5030731;Gartenfelder Straße
5;Spandau;503;SPA 3;50308;Siemensstadt;5030832;Rohrdamm
5;Spandau;503;SPA 3;50308;Siemensstadt;5030833;Motardstraße
5;Spandau;504;SPA 4;50409;Gatow/Kladow;5040934;Alt-Gatow
5;Spandau;504;SPA 4;50409;Gatow/Kladow;5040935;Groß-Glienicker Weg
5;Spandau;504;SPA 4;50409;Gatow/Kladow;5040936;Jägerallee
5;Spandau;504;SPA 4;50409;Gatow/Kladow;5040937;Kladower Damm
5;Spandau;504;SPA 4;50409;Gatow/Kladow;5040938;Kafkastraße
6;Steglitz-Zehlendorf;601;Region A;60101;Schloßstraße;6010101;Fichtenberg
6;Steglitz-Zehlendorf;601;Region A;60101;Schloßstraße;6010102;Schloßstraße
6;Steglitz-Zehlendorf;601;Region A;60101;Schloßstraße;6010103;Markelstraße
6;Steglitz-Zehlendorf;601;Region A;60102;Albrechtstraße;6010204;Munsterdamm
6;Steglitz-Zehlendorf;601;Region A;60102;Albrechtstraße;6010205;Südende
6;Steglitz-Zehlendorf;601;Region A;60102;Albrechtstraße;6010206;Stadtpark
6;Steglitz-Zehlendorf;601;Region A;60102;Albrechtstraße;6010207;Mittelstraße
6;Steglitz-Zehlendorf;601;Region A;60102;Albrechtstraße;6010208;Bergstraße
6;Steglitz-Zehlendorf;601;Region A;60102;Albrechtstraße;6010209;Feuerbachstraße
6;Steglitz-Zehlendorf;601;Region A;60102;Albrechtstraße;6010210;Bismarckstraße
6;Steglitz-Zehlendorf;602;Region B;60203;Lankwitz;6020301;Alt-Lankwitz
6;Steglitz-Zehlendorf;602;Region B;60203;Lankwitz;6020302;Komponistenviertel Lankwitz
6;Steglitz-Zehlendorf;602;Region B;60203;Lankwitz;6020303;Lankwitz Kirche
6;Steglitz-Zehlendorf;602;Region B;60203;Lankwitz;6020304;Kaiser-Wilhelm-Straße
6;Steglitz-Zehlendorf;602;Region B;60203;Lankwitz;6020305;Gemeindepark Lankwitz
6;Steglitz-Zehlendorf;602;Region B;60203;Lankwitz;6020306;Lankwitz Süd
6;Steglitz-Zehlendorf;602;Region B;60204;Ostpreußendamm;6020407;Thermometersiedlung
6;Steglitz-Zehlendorf;602;Region B;60204;Ostpreußendamm;6020408;Lichterfelde Süd
6;Steglitz-Zehlendorf;602;Region B;60204;Ostpreußendamm;6020409;Königsberger Straße
6;Steglitz-Zehlendorf;602;Region B;60204;Ostpreußendamm;6020410;Oberhofer Platz
6;Steglitz-Zehlendorf;602;Region B;60204;Ostpreußendamm;6020411;Schütte-Lanz-Straße
6;Steglitz-Zehlendorf;603;Region C;60305;Teltower Damm;6030501;Berlepschstraße
6;Steglitz-Zehlendorf;603;Region C;60305;Teltower Damm;6030502;Zehlendorf Süd
6;Steglitz-Zehlendorf;603;Region C;60305;Teltower Damm;6030503;Zehlendorf Mitte
6;Steglitz-Zehlendorf;603;Region C;60305;Teltower Damm;6030504;Teltower Damm
6;Steglitz-Zehlendorf;603;Region C;60306;Drakestraße;6030605;Botanischer Garten
6;Steglitz-Zehlendorf;603;Region C;60306;Drakestraße;6030606;Hindenburgdamm
6;Steglitz-Zehlendorf;603;Region C;60306;Drakestraße;6030607;Goerzwerke
6;Steglitz-Zehlendorf;603;Region C;60306;Drakestraße;6030608;Schweizer Viertel
6;Steglitz-Zehlendorf;603;Region C;60306;Drakestraße;6030609;Augustaplatz
6;Steglitz-Zehlendorf;603;Region C;60306;Drakestraße;6030610;Lichterfelde West
6;Steglitz-Zehlendorf;604;Region D;60407;Zehlendorf Südwest;6040701;Wannsee
6;Steglitz-Zehlendorf;604;Region D;60407;Zehlendorf Südwest;6040702;Düppel
6;Steglitz-Zehlendorf;604;Region D;60407;Zehlendorf Südwest;6040703;Nikolassee
